 ,Area,Mean,Perim.,Circ.,Feret,IntDen,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
2144,297.768,255,69.169,0.782,25.000,75930.948,25755,6,4216,164.055,19.547,1.244,0.804,0.824
2145,41.275,255,23.866,0.911,10.012,10525.082,3570,9815,4214,30.964,6.868,1.296,0.771,0.824
2146,61.912,255,41.453,0.453,17.926,15787.623,5355,40212,4222,73.301,6.377,3.424,0.292,0.677
2147,126.773,255,52.588,0.576,19.197,32327.037,10965,7918,4223,63.435,13.054,1.268,0.789,0.717
2148,88.446,255,38.019,0.769,14.770,22553.747,7650,40202,4220,54.462,11.660,1.265,0.791,0.779
2149,53.068,255,27.300,0.895,10.994,13532.248,4590,13703,4221,51.340,8.447,1.199,0.834,0.837
2150,44.223,255,46.899,0.253,19.577,11276.873,3825,40218,4218,105.255,5.151,5.321,0.188,0.577
2151,327.250,255,80.477,0.635,26.821,83448.864,28305,6870,4237,39.806,21.463,1.178,0.849,0.793
2152,194.581,255,92.202,0.288,24.584,49618.243,16830,29223,4239,65.225,15.453,1.158,0.863,0.626
2153,341.991,255,76.038,0.743,25.352,87207.821,29580,14335,4242,61.699,22.321,1.070,0.935,0.814
2154,53.068,255,31.151,0.687,13.843,13532.248,4590,13780,4236,29.745,7.912,1.993,0.502,0.720
2155,253.545,255,68.580,0.677,21.514,64654.074,21930,1236,4236,151.390,18.887,1.100,0.909,0.815
2156,56.016,255,32.156,0.681,12.500,14284.040,4845,20209,4235,164.055,8.585,1.674,0.597,0.731
2157,262.390,255,65.908,0.759,23.100,66909.449,22695,6370,4236,138.013,17.170,1.078,0.927,0.886
2158,179.840,255,52.588,0.817,18.965,45859.285,15555,10695,4241,174.806,15.408,1.161,0.861,0.830
2159,232.908,255,152.075,0.127,33.339,59391.534,20145,11464,4243,101.889,21.214,1.652,0.605,0.455
2160,67.809,255,32.573,0.803,13.077,17291.206,5865,13114,4245,156.801,9.982,1.201,0.832,0.742
2161,247.649,255,77.877,0.513,27.149,63150.491,21420,17416,4254,34.695,18.740,1.165,0.858,0.727
2162,244.701,255,60.462,0.841,21.854,62398.700,21165,32548,4261,45.000,17.170,1.121,0.892,0.888
2163,203.426,255,56.022,0.815,19.577,51873.618,17595,23123,4252,105.255,17.074,1.117,0.895,0.812
2164,91.394,255,45.304,0.560,17.926,23305.538,7905,10434,4255,163.301,9.982,1.678,0.596,0.747
2165,88.446,255,34.168,0.952,13.410,22553.747,7650,598,4267,39.806,8.585,1.294,0.773,0.938
2166,94.342,255,41.869,0.676,14.770,24057.330,8160,18294,4274,35.538,12.019,1.336,0.749,0.744
2167,64.860,255,29.728,0.922,13.843,16539.414,5610,1932,4268,150.255,6.868,1.920,0.521,0.917
2168,303.665,255,76.038,0.660,25.755,77434.531,26265,23729,4270,143.130,20.604,1.017,0.983,0.817
2169,88.446,255,33.162,1.000,13.077,22553.747,7650,7395,4277,66.801,8.585,1.328,0.753,0.923
2170,61.912,255,39.025,0.511,14.770,15787.623,5355,22738,4270,144.462,9.524,1.642,0.609,0.646
2171,47.171,255,40.447,0.362,19.197,12028.665,4080,3815,4276,26.565,4.887,5.212,0.192,0.640
2172,73.705,255,32.573,0.873,12.500,18794.789,6375,22677,4279,74.055,10.302,1.194,0.838,0.794
2173,336.095,255,79.472,0.669,26.209,85704.238,29070,2039,4276,148.392,21.655,1.169,0.856,0.809
2174,76.653,255,40.447,0.589,14.770,19546.581,6630,7698,4275,125.538,10.750,1.411,0.709,0.732
2175,103.187,255,38.435,0.878,14.770,26312.705,8925,34519,4276,144.462,11.905,1.191,0.839,0.814
2176,73.705,255,33.579,0.821,12.382,18794.789,6375,8046,4280,33.690,9.713,1.170,0.855,0.794
2177,88.446,255,34.585,0.929,13.410,22553.747,7650,14901,4278,140.194,10.302,1.271,0.787,0.857
2178,76.653,255,34.168,0.825,14.770,19546.581,6630,22456,4283,35.538,8.585,1.578,0.634,0.897
2179,114.980,255,45.893,0.686,19.577,29319.871,9945,11715,4280,142.125,11.449,1.533,0.652,0.804
2180,306.613,255,73.609,0.711,23.354,78186.323,26520,20544,4290,17.103,20.604,1.119,0.894,0.829
2181,138.566,255,48.321,0.746,19.197,35334.203,11985,29521,4294,63.435,12.019,1.345,0.744,0.839
2182,114.980,255,39.025,0.949,14.770,29319.871,9945,8478,4285,125.538,12.019,1.189,0.841,0.907
2183,61.912,255,39.441,0.500,14.670,15787.623,5355,28464,4286,159.444,9.565,1.782,0.561,0.609
2184,73.705,255,32.156,0.896,14.770,18794.789,6375,5520,4287,125.538,8.499,1.896,0.527,0.877
2185,283.027,255,71.598,0.694,23.854,72171.990,24480,23864,4287,120.256,20.604,1.070,0.934,0.800
2186,188.685,255,55.017,0.783,19.197,48114.660,16320,3026,4291,153.435,16.484,1.233,0.811,0.815
2187,159.203,255,110.967,0.162,49.912,40596.744,13770,18022,4317,86.055,5.151,11.860,0.084,0.692
2188,76.653,255,30.734,1.000,12.382,19546.581,6630,5195,4297,56.310,8.585,1.242,0.805,0.945
2189,318.406,255,78.049,0.657,26.876,81193.489,27540,13328,4304,26.565,18.887,1.232,0.812,0.828
2190,283.027,255,67.158,0.789,22.908,72171.990,24480,13039,4297,102.995,19.965,1.009,0.991,0.838
